Year|Month|Day|Product Format|Total Net Sales|PO-Total
2021|January|15|42465924|366.94|0
2021|January|16|42472886|324.35|0
2021|January|17|42478284|10276.21|0
2021|January|18|42491593|3510.59|0
2021|January|19|42492511|93.65|0
2021|January|20|42498375|3142.74|0
2021|January|21|42505972|101.97|0
2021|January|22|42527771|243.55|0
2021|January|23|42575972|169.67|0
2021|January|24|42620053|490.1|0
2021|January|25|42621072|3259.42|0
2021|January|26|42625293|236038.71|0
2021|January|27|42676498|20811.29|0
2021|January|28|42680007|1231.6|0
2021|January|29|42742629|561.12|0
2021|January|30|52098761|4628.13|0
2021|January|31|52123230|727.56|0
2021|January|1|52130703|421.26|0
2021|January|2|55354565|645.65|0
2021|January|3|55490786|104.44|0
2021|January|4|55504814|2289.93|0
2021|January|5|55568389|1272.58|0
2021|January|6|55574240|5468.53|0
2021|January|7|55577568|1533.04|0
2021|January|8|55590441|259.48|0
2021|January|9|84150736|20494.36|0
2021|January|10|84277350|2480024.97|0
2021|January|11|84315298|8115.6|0
2021|January|12|84358044|3738.31|0
2021|January|13|84373390|3265.73|0
2021|January|14|84497161|53730.01|0
2021|January|15|84652845|336511.29|0
2021|January|16|84652847|336511.29|0
2021|January|17|84676688|123209.68|0
2021|January|18|84676689|335110.67|0
2021|January|19|84726034|720672.51|0
2021|January|20|84726035|720672.51|0
2021|January|21|84726038|965900.74|0
2021|January|22|84726039|965900.74|0
2021|January|23|84741540|2215153.21|0
2021|January|24|84782543|953.68|0
2021|January|25|84873425|15720.51|0
2021|January|26|84922348|1080517.91|0
2021|January|27|92063149|4733.77|0
2021|January|28|93294583|336.49|0
2021|January|29|94509632|13591.94|0
2021|January|30|94522008|10571.91|0
2021|January|31|94522432|173.99|0
2021|January|1|94523424|989.11|0
2021|January|2|94550512|567.74|0
2021|January|3|94550514|555.53|0
2021|January|4|94560841|6106.45|0
2021|January|5|94713061|7062.54|0
2021|January|6|94772339|695.56|0
2021|January|7|95060302|222.58|0
2021|January|8|95072281|1016.94|0
2021|January|9|95078826|24014.2|0
2021|January|10|95087831|4037.5|0
2021|January|11|95092182|3100|0
2021|January|12|95095592|898.23|0
2021|January|13|95131545|1081.28|0
2021|January|14|95134678|425.7|0
2021|January|15|95182963|365.93|0
2021|January|16|95214082|950.48|0
2021|January|17|95215889|351.31|0
2021|January|18|95229299|82.71|0
2021|January|19|95230588|3328.83|0
2021|January|20|95238094|596.37|0
2021|January|21|95249844|2306.96|0
2021|January|22|95259717|290.94|0
2021|January|23|95279999|128.23|0
2021|January|24|95315620|248689.49|0
2021|January|25|95315621|124414.72|0
2021|January|26|95315638|26975.06|0
2021|January|27|95315639|89054.64|0
2021|January|28|95319189|512.1|0
2021|January|29|95326257|2391.24|0
2021|January|30|95330587|6883.06|0
2021|January|31|95333850|213.51|0
2021|January|1|95352366|10255.65|0
2021|January|2|95371030|2087.32|0
2021|January|3|95374599|1163.92|0
2021|January|4|95381084|1980.74|0
2021|January|5|95414477|623.19|0
2021|January|6|95416887|8219.35|0
2021|January|7|95437535|5062.9|0
2021|January|8|95479569|197.38|0
2021|January|9|95483970|255.83|0
2021|January|10|95491330|532.26|0
2021|January|11|95492102|5787.1|0
2021|January|12|95493134|40.73|0
2021|January|13|95908486|823.63|0
2021|January|14|95910902|10353.03|0
2021|January|15|95914119|2300.16|0
2021|January|16|95914479|141.45|0
2021|January|17|95915136|570.56|0
2021|January|18|95915137|312.7|0
2021|January|19|95932791|3592.14|0
2021|January|20|95937463|1071.06|0
2021|January|21|95940510|6978.83|0
2021|January|22|95942520|242.24|0
2021|January|23|95987387|149.6|0
2021|January|24|96253544|481.92|0
2021|January|25|96495288|777.62|0
2021|January|26|96624219|1756.45|0
2021|January|27|96652672|87.7|0
2021|January|28|96660371|76.22|0
2021|January|29|96661547|6503.23|0
2021|January|30|96673825|65.93|0
2021|January|31|96694779|920.43|0
2021|January|1|96830934|12753.63|0
2021|January|2|96830989|1470.1|0
2021|January|3|96852160|221.15|0
2021|January|4|96968256|304.2|0
2022|January|5|5233315|1990.59|0
2022|January|6|9229788|127.28|0
2022|January|7|9595174|310.05|0
2022|January|8|10128316|232.03|0
2022|January|9|10370149|6767.19|0
2022|January|10|11515776|55.83|0
2022|January|11|11562183|384.28|0
2022|January|12|11570825|958.87|0
2022|January|13|11611488|106.86|0
2022|January|14|12380318|7060.99|0
2022|January|15|12589461|1505.16|0
2022|January|16|12598014|23577.86|0
2022|January|17|12609317|3309.8|0
2022|January|18|12609597|3205.66|0
2022|January|19|12611130|6653.18|0
2022|January|20|12622668|3301.06|0
2022|January|21|12623514|1530.98|0
2022|January|22|12636524|42724.27|0
2022|January|23|12637192|213.63|0
2022|January|24|12640448|21657.87|0
2022|January|25|12640455|1513.2|0
2022|January|26|12641847|149381.69|0
2022|January|27|12643667|2056.2|0
2022|January|28|12643668|1151.91|0
2022|January|29|12645298|2703.09|0
2022|January|30|12647263|183.96|0
2022|January|31|12653318|22405.89|0
2022|January|1|12657189|2873.55|0
2022|January|2|12673207|3198.32|0
2022|January|3|12673301|3555.56|0
2022|January|4|12674639|592.39|0
2022|January|5|12679099|116423.16|0
2022|January|6|12689039|4263.97|0
2022|January|7|13104978|582.06|0
2022|January|8|13183767|30805.28|0
2022|January|9|13300884|2372.43|0
2022|January|10|13363695|220.99|0
2022|January|11|13503368|558.22|0
2022|January|12|13508298|1876.41|0
2022|January|13|13516863|12673.33|0
2022|January|14|13529651|25638.63|0
2022|January|15|13576846|35320.86|0
2022|January|16|13578676|4319.97|0
2022|January|17|13581202|232688.77|0
2022|January|18|13581205|386.33|0
2022|January|19|13587704|1832|0
2022|January|20|13588053|1487.01|0
2022|January|21|13591799|20293.64|0
2022|January|22|13592337|2382.56|0
2022|January|23|13595628|29483.06|0
2022|January|24|13597089|5408.02|0
2022|January|25|13597428|86.37|0
2022|January|26|15075118|34807.57|0
2022|January|27|15221006|1556.84|0
2022|January|28|15901934|2514.88|0
2022|January|29|15926330|549.79|0
2022|January|30|15936931|356.41|0
2022|January|31|19121015|22378.96|0
2022|January|1|19167141|1003.68|0
2022|January|2|19177106|19550.01|0
2022|January|3|19177107|6871.04|0
2022|January|4|19179654|137373.37|0
2022|January|5|19209451|1679.54|0
2022|January|6|19257222|290.98|0
2022|January|7|19257224|198.08|0
2022|January|8|19258417|6188.15|0
2022|January|9|19258419|901.24|0
2022|January|10|19258624|558.01|0
2022|January|11|19352194|3693.06|0
